#feature importance
"click_time_timestamp"   845
day 8
wday 8
"ip\_app\_count"    702 
"ip\_app_os_count" 265
"ip\_day_count"
"ip\_day_hour_count" 980
"ip\_app_media"     202
"ipAppOsMedia"   218
"ipDayMedia"    202 
"ipDayHourMedia" 140
