Algorithm RMSLE
Neuronal 0.6569563307133358
Gaussian 0.39754578200541985
kNN 0.25263647070826306
DecisionTree 0.22317183643698918
SVM 0.2216698533349016
LinearRegression 0.17588105965940015
Bagging	0.16048736277418
RandomForest 0.15644494063408193
Boosting 0.12850984052118733

